tenure,PhoneService,TotalCharges,StreamingMovies,StreamingTV,TechSupport,gender
40,1,3015.75,1,1,0,Male
10,0,255.25,0,0,0,Male
27,1,501.35,0,0,0,Female
7,1,582.5,0,1,0,Female
65,1,1715.1,0,0,0,Male
10,1,818.05,0,0,0,Female
23,1,1936.85,0,0,1,Female
47,1,4107.25,1,1,1,Female
11,1,608.15,0,1,0,Male
12,0,442.45,0,0,1,Male
30,0,1307.8,1,1,0,Male
1,1,75.7,0,0,0,Female
57,1,6252.7,1,1,1,Female
11,1,834.7,0,0,0,Male
9,1,150.35,0,0,0,Female
4,1,266.9,0,0,0,Female
13,1,956.65,0,0,0,Male
35,1,700.45,0,0,0,Female
67,0,3521.7,1,0,1,Male
51,1,2356.75,0,0,1,Male
1,1,51.25,0,0,1,Male
71,1,7159.7,1,0,1,Female
29,1,2414.55,0,0,1,Male
33,1,3361.05,1,1,1,Female
11,0,402.6,0,0,1,Female
13,1,1033.95,0,1,0,Male
42,1,867.3,0,0,0,Male
8,0,226.95,0,0,0,Female
1,1,44.4,0,0,0,Male
72,1,7840.6,1,1,1,Male
47,1,4017.45,0,1,0,Male
30,1,2509.95,0,1,0,Male
51,1,5720.35,1,1,1,Male
16,1,1461.15,1,1,0,Female
34,1,3414.65,1,1,0,Female
8,1,649.65,1,0,0,Male
72,1,1871.85,0,0,0,Female
60,1,4374.55,1,0,0,Male
72,1,8424.9,1,1,1,Male
12,1,255.5,0,0,0,Male
65,1,5215.1,1,1,1,Female
32,1,674.55,0,0,0,Male
67,1,6341.45,1,0,1,Female
45,1,3597.5,1,1,0,Male
60,0,3590.2,1,1,1,Female
1,1,55.45,1,0,0,Female
58,1,3795.45,0,0,1,Female
9,1,889.9,1,1,0,Female
1,1,74.35,0,0,0,Female
8,1,203.95,0,0,0,Male
2,1,98.5,0,0,0,Male
47,1,873.4,0,0,0,Female
1,1,74.45,0,0,0,Female
1,0,25.85,0,0,0,Female
10,1,1060.2,1,1,0,Female
29,0,788.05,0,0,0,Male
58,1,4415.75,0,1,1,Female
14,1,324.8,0,0,0,Male
7,1,141.1,0,0,0,Male
5,1,404.2,1,0,0,Female
18,1,390.85,0,0,0,Female
25,1,505.45,0,0,0,Male
46,1,3009.5,0,1,1,Female
1,1,50.8,0,0,0,Male
1,1,48.45,0,0,0,Female
68,1,5711.05,0,0,0,Female
18,1,768.05,0,0,0,Male
8,1,624.6,0,1,0,Female
64,1,1240.15,0,0,0,Male
4,1,346.2,0,1,0,Female
63,1,4861.45,0,1,1,Female
54,1,5826.65,1,1,1,Male
54,1,4191.45,1,1,0,Male
72,1,5102.35,0,0,1,Male
4,0,207.35,1,1,0,Male
72,1,6637.9,1,1,1,Female
60,0,2907.55,1,1,0,Female
20,1,1776.55,1,1,0,Male
35,1,2419.0,0,0,0,Female
2,1,91.1,0,0,0,Female
26,0,1277.5,1,1,0,Female
14,1,1185.0,0,0,0,Male
1,1,74.7,0,0,0,Male
53,1,1039.45,0,0,0,Female
1,1,19.3,0,0,0,Male
58,1,1131.5,0,0,0,Male
5,1,286.8,0,0,1,Female
53,1,5682.25,1,1,0,Female
4,1,91.4,0,0,0,Female
49,1,4920.55,1,1,0,Male
2,1,190.05,1,0,1,Male
2,1,116.65,0,0,0,Male
3,1,229.5,0,0,0,Female
7,1,635.6,1,1,0,Male
14,1,641.25,0,0,0,Male
18,1,1742.95,1,1,0,Male
27,1,2272.8,0,0,0,Male
66,1,3996.8,0,1,0,Female
43,1,3574.5,1,1,1,Female
69,1,7806.5,1,1,1,Male
71,1,6669.45,1,0,0,Male
50,1,4113.7,0,0,0,Female
51,1,1007.8,0,0,0,Male
27,1,2204.35,1,1,1,Male
70,1,1360.25,0,0,0,Male
2,1,195.05,1,0,0,Female
6,1,267.35,0,0,1,Female
59,1,6039.9,1,1,0,Female
10,1,934.1,0,1,1,Male
29,1,3004.15,1,1,0,Male
5,1,92.75,0,0,0,Male
21,1,1973.75,1,1,0,Female
62,1,6613.65,1,1,1,Female
36,1,754.5,0,0,0,Male
3,1,64.55,0,0,0,Male
69,1,8182.85,1,1,1,Female
2,0,59.05,0,0,1,Female
8,1,627.4,1,0,0,Female
3,0,82.85,0,0,0,Female
1,1,45.75,0,0,0,Male
12,1,1120.95,1,1,1,Female
18,1,1395.05,0,0,0,Male
20,0,505.95,0,0,0,Female
22,1,1254.7,0,0,0,Male
5,1,221.7,0,0,0,Female
24,1,553.0,0,0,0,Female
64,1,4447.75,0,1,1,Male
26,1,2537.0,1,1,1,Male
68,1,7299.65,1,1,0,Male
60,1,1093.0,0,0,0,Female
25,1,1466.1,0,0,1,Male
51,1,1281.25,0,0,0,Female
7,1,580.1,1,1,1,Female
39,1,779.2,0,0,0,Male
72,1,5886.85,1,1,1,Female
27,1,2462.55,1,1,0,Female
56,1,4793.8,0,0,1,Male
57,1,1134.25,0,0,0,Female
17,1,1672.1,0,1,1,Male
1,1,56.25,1,0,0,Female
35,1,686.95,0,0,0,Male
13,1,930.05,0,1,1,Male
69,1,1375.4,0,0,0,Female
1,1,19.25,0,0,0,Female
7,1,544.55,0,0,0,Male
72,1,8277.05,1,1,1,Female
3,1,293.65,1,1,1,Male
53,1,3357.9,1,0,0,Male
38,1,3141.7,0,0,0,Male
4,1,324.2,0,0,0,Female
62,1,5193.2,1,1,1,Female
1,1,49.05,0,0,1,Male
46,1,3847.6,0,0,0,Female
19,1,1144.6,0,0,1,Male
72,1,6697.2,1,1,1,Female
38,1,963.95,0,0,0,Male
71,1,7472.15,1,1,0,Male
16,1,1534.75,1,1,0,Female
66,1,6975.25,1,1,1,Female
11,1,1120.3,1,1,0,Female
66,1,5714.25,1,1,1,Male
28,1,2626.15,1,0,1,Male
1,0,35.05,1,0,0,Female
72,1,7854.9,1,1,1,Female
18,1,309.25,0,0,0,Female
49,1,918.7,0,0,0,Female
41,1,4133.95,1,1,0,Female
1,1,70.45,0,0,0,Male
27,1,1893.95,0,0,0,Male
5,1,93.55,0,0,0,Male
43,0,1463.7,0,0,0,Male
47,1,2654.05,0,0,0,Male
1,1,49.55,0,0,0,Female
15,1,892.65,1,0,0,Female
7,1,472.65,0,0,0,Female
14,1,300.4,0,0,0,Male
43,1,3398.9,0,0,0,Female
